time,swing_leg,x,z,step_length,step_duration
6.8420000000000005,left,-0.028747559,0.128051758,0.0004885193358762576,0.10400000000000009
6.846,right,0.126586914,0.129638672,0.0001220700000000019,0.1120000000000001
6.952,left,-0.028610229,0.127807617,0.00028011489924848246,0.10999999999999943
6.958,right,0.126586914,0.129760742,0.0001220700000000019,0.1120000000000001
7.054,left,-0.028640747,0.127441406,0.0003674804006270318,0.10200000000000031
7.066,right,0.126586914,0.129760742,0.0,0.10799999999999965
7.168,right,0.126708984,0.129760742,0.0001220700000000019,0.10200000000000031
7.17,left,-0.028671265,0.127929688,0.0004892347696638153,0.11599999999999966
7.276,left,-0.028686523,0.127685547,0.0002446173224548938,0.10599999999999987
7.3100000000000005,right,0.126586914,0.129760742,0.0001220700000000019,0.14200000000000035
7.384,left,-0.028640747,0.127929688,0.0002483953905711645,0.10800000000000054
7.412,right,0.126708984,0.129760742,0.0001220700000000019,0.10199999999999942
7.496,left,-0.028579712,0.127685547,0.00025165472200219433,0.1120000000000001
7.5120000000000005,right,0.126831055,0.129394531,0.0003860204988883416,0.10000000000000053
7.602,left,-0.028656006,0.127441406,0.0002557842886437745,0.10599999999999987
7.63,right,0.126708984,0.129272461,0.00017263375666711538,0.11799999999999944
7.714,left,-0.028381348,0.126953125,0.0005602279463977206,0.1120000000000001
7.748,right,0.126708984,0.129272461,0.0,0.11800000000000033
7.816,left,-0.028442383,0.127441406,0.0004920808939453015,0.10199999999999942
7.86,right,0.126831055,0.129150391,0.00017263375666711538,0.1120000000000001
7.916,left,-0.028427124,0.127319336,0.00012302000642578617,0.10000000000000053
8.012,right,0.126708984,0.129272461,0.00017263375666711538,0.15200000000000014
8.018,left,-0.028656006,0.126831055,0.0005392636691684382,0.10200000000000031
8.126,left,-0.02897644,0.127441406,0.0006893520809840278,0.10799999999999876
9.038,right,0.126220703,0.130249023,0.0010918295081215658,1.0259999999999998
9.146,right,0.125610352,0.132080078,0.0019301012295281225,0.10800000000000054
9.248,right,0.118835449,0.133789063,0.0069871267620985845,0.10199999999999854
9.348,right,0.10546875,0.139404297,0.01449825834475841,0.10000000000000142
9.450000000000001,right,0.104003906,0.141479492,0.0025401185469109563,0.10200000000000031
9.554,right,0.090087891,0.150634766,0.016657566313699624,0.1039999999999992
9.656,right,0.06817627,0.185302734,0.04101203652705709,0.10200000000000031
9.758000000000001,right,0.065185547,0.211914063,0.026778858362689232,0.10200000000000031
9.86,right,0.066589355,0.234863281,0.022992113511210485,0.10199999999999854
9.96,right,0.057128906,0.2578125,0.024822706298700828,0.10000000000000142
10.062,right,0.040863037,0.279296875,0.026947297888021835,0.10199999999999854
10.162,right,0.029190063,0.295898438,0.020294585880171207,0.10000000000000142
10.264,right,0.03314209,0.307617188,0.012367199318003612,0.10199999999999854
10.364,right,0.03515625,0.318359375,0.010929383424904137,0.10000000000000142
10.466000000000001,right,0.033843994,0.324462891,0.006242989938466319,0.10200000000000031
10.568,right,0.030487061,0.334228516,0.010326491698883703,0.10199999999999854
10.668000000000001,right,0.029312134,0.343505859,0.009351446230128199,0.10000000000000142
10.77,right,0.030303955,0.354980469,0.011517394824704973,0.10199999999999854
10.870000000000001,right,0.029327393,0.366455078,0.011516089833043345,0.10000000000000142
10.972,right,0.026489258,0.368408203,0.0034452441921945087,0.10199999999999854
11.036,left,-0.121276855,0.373779297,0.26306220395849367,2.91
11.11,right,0.032531738,0.366699219,0.006279505622471871,0.1379999999999999
11.156,left,-0.118347168,0.362304688,0.011842707360263976,0.120000000000001
11.22,right,0.036132813,0.357666016,0.009724530713347295,0.11000000000000121
11.288,left,-0.107910156,0.354980469,0.012750506007531807,0.13199999999999967
11.392,left,-0.104125977,0.350830078,0.00561656088339851,0.1039999999999992
11.44,right,0.048980713,0.346435547,0.01706434787414861,0.21999999999999886
11.492,left,-0.094299316,0.350097656,0.009853918428473265,0.10000000000000142
11.564,right,0.057739258,0.347167969,0.008789115570016645,0.12400000000000055
11.65,left,-0.08807373,0.341552734,0.0105723040549106,0.15799999999999947
11.756,left,-0.077636719,0.328857422,0.01643478461652191,0.10599999999999987
11.834,right,0.079711914,0.323242188,0.03248446718285985,0.2699999999999996
11.878,left,-0.060699463,0.327636719,0.016981188316008547,0.12199999999999989
11.938,right,0.093811035,0.317382813,0.015268185496753246,0.10400000000000098
11.996,left,-0.04309082,0.323730469,0.018036715259823477,0.11800000000000033
12.040000000000001,right,0.104064941,0.314453125,0.01066422336760534,0.10200000000000031
12.126,left,-0.0362854,0.318115234,0.008822958998070032,0.129999999999999
12.142,right,0.108703613,0.3125,0.0050330880371009905,0.10199999999999854
12.246,right,0.112243652,0.313964844,0.0038311413528943333,0.10400000000000098
12.25,left,-0.030609131,0.317626953,0.005697231616787406,0.12400000000000055
12.496,left,-0.027633667,0.297607422,0.020239441876574962,0.24600000000000044
12.504,right,0.117370605,0.291015625,0.023514937800771896,0.2579999999999991
12.64,left,-0.015571594,0.290039063,0.014239861762327976,0.14400000000000013
12.744,left,-0.018295288,0.296875,0.007358569404008173,0.1039999999999992
12.77,right,0.121459961,0.288818359,0.0046422850375102895,0.266
12.848,left,-0.022155762,0.306884766,0.010728405048255379,0.10400000000000098
12.870000000000001,right,0.118286133,0.297119141,0.00888685354808479,0.10000000000000142
12.954,left,-0.017868042,0.311035156,0.005967434955699142,0.10599999999999987
12.974,right,0.12487793,0.303222656,0.00898357852108134,0.1039999999999992
13.056000000000001,left,-0.003936768,0.313964844,0.014235991958427775,0.10200000000000031
13.084,right,0.140625,0.310791016,0.017471413413759632,0.10999999999999943
13.214,right,0.167724609,0.293457031,0.03216917536918075,0.13000000000000078
13.226,left,0.028244019,0.295166016,0.03726927670498792,0.16999999999999993
13.328,left,0.053161621,0.310058594,0.029028878189080773,0.10199999999999854
13.374,right,0.215942383,0.31640625,0.05340056537364597,0.16000000000000014
13.44,left,0.112548828,0.321777344,0.060532383538262804,0.1120000000000001
13.508000000000001,right,0.325195313,0.308837891,0.10951476051901762,0.13400000000000034
13.582,left,0.257568359,0.295898438,0.14731049571302382,0.14200000000000124
13.612,right,0.419921875,0.295166016,0.0957081068371717,0.1039999999999992
13.684000000000001,left,0.306640625,0.297607422,0.049102015403514845,0.10200000000000031
13.718,right,0.454833984,0.303222656,0.035829663728780416,0.10599999999999987
13.828,right,0.484375,0.301757813,0.02957731210449833,0.10999999999999943
13.832,left,0.339111328,0.297607422,0.03247070299999999,0.1479999999999997
13.934000000000001,right,0.541992188,0.313476563,0.05879684901922763,0.10600000000000165
13.938,left,0.397705078,0.308349609,0.05957031240983607,0.10599999999999987
14.044,left,0.47265625,0.294921875,0.07614448256143279,0.10599999999999987
14.06,right,0.627441406,0.295410156,0.0873382156830626,0.12599999999999945
14.146,left,0.501464844,0.297363281,0.02891185831996403,0.10200000000000031
14.164,right,0.651367188,0.299072266,0.024204423024803277,0.1039999999999992
14.254,left,0.524902344,0.299560547,0.02354027153889173,0.10799999999999876
14.264000000000001,right,0.670898438,0.301269531,0.01965445751077157,0.10000000000000142
14.358,left,0.584472656,0.287597656,0.06075963160565756,0.10400000000000098
14.372,right,0.729492188,0.295654297,0.0588621983274262,0.10799999999999876
14.46,left,0.611328125,0.290283203,0.026989412329637176,0.10200000000000031
14.502,right,0.753417969,0.298339844,0.024076028724629175,0.13000000000000078
14.562000000000001,left,0.621582031,0.297607422,0.012601062344770654,0.10200000000000031
14.634,right,0.757324219,0.309082031,0.011430370536665384,0.13199999999999967
14.684000000000001,left,0.624023438,0.306884766,0.009593204878140811,0.12199999999999989
14.74,right,0.768554688,0.316650391,0.013542655096012799,0.10599999999999987
14.786,left,0.634765625,0.306884766,0.010742186999999959,0.10199999999999854
14.870000000000001,right,0.777832031,0.312255859,0.010265525054212835,0.13000000000000078
14.886000000000001,left,0.638671875,0.311035156,0.005699519823160547,0.10000000000000142
14.976,right,0.793457031,0.315917969,0.01604841657772193,0.10599999999999987
14.998000000000001,left,0.653320313,0.312011719,0.014680954026656928,0.1120000000000001
15.1,left,0.662109375,0.317138672,0.010175129380211936,0.10199999999999854
15.106,right,0.806640625,0.324707031,0.015844707684166338,0.129999999999999
15.200000000000001,left,0.666503906,0.321777344,0.006389771563486829,0.10000000000000142
15.22,right,0.810546875,0.329345703,0.006064327414156008,0.11400000000000077
15.326,left,0.654785156,0.330078125,0.014360782247929972,0.12599999999999945
15.35,right,0.80078125,0.333251953,0.010517900013934578,0.129999999999999
15.604000000000001,right,0.823242188,0.322509766,0.024897556454054184,0.25400000000000134
15.620000000000001,left,0.683105469,0.314697266,0.03222748752223563,0.2940000000000005
15.706,right,0.825683594,0.322265625,0.0024535827038673235,0.10199999999999854
15.724,left,0.685058594,0.314941406,0.00196832456805909,0.1039999999999992
15.812000000000001,right,0.825683594,0.325927734,0.0036621090000000245,0.10600000000000165
15.828000000000001,left,0.686523438,0.318603516,0.003944213178371072,0.10400000000000098
15.932,left,0.679199219,0.322753906,0.00841842747263771,0.1039999999999992
15.936,right,0.8203125,0.329833984,0.006641343224027517,0.12399999999999878
16.048000000000002,right,0.813964844,0.330566406,0.006389771410654662,0.11200000000000188
16.1,left,0.671875,0.324951172,0.007646709216043032,0.16800000000000104
16.174,right,0.81640625,0.325683594,0.005459149776675805,0.12599999999999767
16.208000000000002,left,0.677246094,0.320800781,0.006787812328704844,0.10800000000000054
16.314,left,0.680664063,0.316650391,0.005376639213957096,0.1059999999999981
16.418,right,0.821289063,0.313232422,0.013374361553605229,0.24399999999999977
16.452,left,0.677734375,0.306152344,0.010899177152040071,0.13800000000000168
16.678,right,0.816894531,0.27734375,0.03615672398631559,0.26000000000000156
16.78,right,0.819335938,0.263671875,0.013888147254233528,0.10200000000000031
16.894000000000002,left,0.680664063,0.245727539,0.0604957860603974,0.44200000000000017
16.904,right,0.818847656,0.253662109,0.01002166825864235,0.12399999999999878
17.0,left,0.665039063,0.244018555,0.015718182188543813,0.1059999999999981
17.006,right,0.802734375,0.242797852,0.01943373110720146,0.10200000000000031
17.164,left,0.65625,0.240600586,0.009430277859264312,0.16400000000000148
17.324,right,0.791503906,0.230834961,0.016408357475318564,0.3180000000000014
17.346,left,0.645019531,0.231689453,0.014336377691162114,0.1819999999999986
17.446,left,0.635742188,0.236328125,0.010372385022897673,0.10000000000000142
17.468,right,0.780273438,0.232666016,0.011378759770381287,0.14399999999999835
17.568,right,0.796386719,0.237915039,0.016946683068951553,0.10000000000000142
17.572,left,0.654785156,0.237915039,0.019108975019409533,0.12599999999999767
17.688,left,0.658691406,0.225830078,0.012700593349683357,0.11599999999999966
17.802,left,0.656738281,0.222412109,0.003936649508222183,0.11400000000000077
18.004,left,0.670898438,0.206542969,0.021268278035709683,0.20200000000000173
18.218,left,0.650878906,0.189575195,0.02624284694948515,0.21399999999999864
18.376,left,0.635742188,0.177368164,0.01944561229806054,0.15800000000000125
18.478,left,0.639160156,0.177368164,0.003417967999999938,0.10200000000000031
18.588,left,0.643066406,0.177978516,0.003953646244469023,0.10999999999999943
23.488,right,0.733886719,0.115783691,0.13719444655049673,5.919999999999998
23.592,right,0.729492188,0.116577148,0.004465588059909897,0.1039999999999992
23.694,right,0.729003906,0.114013672,0.0026095648131633188,0.10200000000000031
23.808,right,0.729003906,0.112792969,0.0012207029999999897,0.11400000000000077
23.908,right,0.728027344,0.113586426,0.0012582715727111199,0.10000000000000142
24.01,right,0.727050781,0.115722656,0.002348862257747149,0.10200000000000031
24.112000000000002,right,0.722167969,0.12121582,0.0073496056872623915,0.10200000000000031
24.37,right,0.725585938,0.117797852,0.004833737408464095,0.2579999999999991
24.472,right,0.724121094,0.115966797,0.0023448945301145327,0.10200000000000031
24.574,right,0.723632813,0.116271973,0.0005758044163923913,0.10200000000000031
24.678,right,0.723144531,0.117614746,0.001428796220968223,0.1039999999999992
24.778000000000002,right,0.72265625,0.117675781,0.0004920808939452722,0.10000000000000142
24.882,right,0.72265625,0.117858887,0.00018310600000000232,0.1039999999999992
24.986,right,0.723144531,0.117370605,0.0006905343195562206,0.1039999999999992
25.09,right,0.723144531,0.116394043,0.0009765620000000003,0.1039999999999992
